ticker,sector,price,data_date,trend,relative_strength_20d,alpha_score,risk_score,pm_rating,score_coverage
NVDA,GPU,223.960007,2026-08-07,上升,6.5,82.8,56.1,Overweight,55
AVGO,GPU,427.76001,2026-08-07,盤整,7.29,84.5,57.5,Overweight,55
AMD,GPU,483.359985,2026-08-07,下降,-13.02,2.1,69.0,Underweight,55
MU,Memory,877.570007,2026-08-07,下降,-10.05,17.0,63.7,Underweight,55
MRVL,Networking,218.720001,2026-08-07,盤整,-6.91,36.3,58.0,Neutral,55
TSM,Platform / Other,420.040009,2026-08-07,盤整,-2.9,41.8,50.8,Neutral,55
ANET,Networking,188.669998,2026-08-07,上升,1.26,57.9,46.6,Neutral,55
VRT,Power,272.399994,2026-08-07,下降,-14.23,6.0,71.2,Underweight,55
LITE,Optics,890.169983,2026-08-07,盤整,11.33,100,64.8,Overweight,55
CIEN,Optics,412.390015,2026-08-07,盤整,-10.15,18.7,63.9,Underweight,55
NET,Software,300.269989,2026-08-07,上升,12.22,100,66.4,Overweight,55
DDOG,Software,233.929993,2026-08-07,盤整,-8.83,7.1,61.5,Underweight,55
ORCL,Software,147.020004,2026-08-07,盤整,4.88,77.9,53.2,Overweight,55
META,Platform / Other,592.099976,2026-08-07,盤整,-11.18,12.6,65.7,Underweight,55
NFLX,Platform / Other,74.139999,2026-08-07,盤整,1.39,57.5,46.9,Neutral,55
SAP,Software,206.160004,2026-08-07,上升,30.94,100,100,Overweight,55
